id,review,positive,negative,neutral,Clean,Comfort,Facilities/Amenities,Location,Restaurant (dinner),Staff,View (Balcony),Breakfast,Room,Pool,Beach,Bathroom/Shower (toilet),Bar,Bed,Parking,Noise,Reception-checkin,Lift,Value for money,Wi-Fi,Generic,Aspect,
7087,It is in a good location not long of a walk to the city centre.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7088,"It is in a good location, about 10-15 mins walk from the metro.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7089,It is in a nice area of the City.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7090,It is in a very rundown residential neighborhood right off a main road.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
7091,It is in the middle of Naples so expect some noise.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
7092,"It is kinda hard to find it, cause there is no sign downstairs, but the lady came to pick me up.",,,1,,,,1,,1,,,,,,,,,,,,,,,,1,
7093,It is like living on a boat with a small room and a shower like one on the boat where you swim in water once you had a shower.,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
7094,"It is located in a central area, a stone's throw from the metro.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7095,It is located in a small quiet road near to excellent restaurants and pizzarias.,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
7096,It is located in a very bad area.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7097,It is located in the center a few steps from Mirabell Square or the congress (departure of a lot of buses).,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7098,"It is located on a very spacious avenue where you can find everything (cafes, shops, restaurants, bars.",1,,,,,,1,1,,,,,,,,1,,,,,,,,,,
7099,It is located on the 11th floor of a large building in Via Bracco.,1,,,,,,,,,,,,,,,,,,,,,,,,,
7100,"It is modern and beautiful, with friendly and attentive staff.",1,,,,,,,,1,,,,,,,,,,,,,,,,,
7101,It is more of a gym pool than a hotel pool.,,1,,,,1,,,,,,,1,,,,,,,,,,,,,
7102,It is much cheaper than other worse hotels.,1,,,,,,,,,,,,,,,,,,,,,1,,,,
7103,It is near the beach and there are all types of restaurants within walking distance.,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,
7104,It is near the beach.,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
7105,"It is necessary to pay a deposit of ?100 for the keys, which we have not encountered for a long time.",,1,,,,,,,,,,,,,,,,,,,,1,,,,
7106,"It is new and clean, breakfast was also very good.",1,,,1,,,,,,,1,,,,,,,,,,,,,1,,
7107,"It is next to the Garibaldi metro stop or, even if you walk along the Neapolitan area, you can reach toledo without any problems.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7108,It is not a hotel to go with family and / or share room as everything has mirrors and there is not much privacy with the bathroom.,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
7109,It is not clean at all.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7110,It is not easily identifiable since there are no external signs.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7111,"It is not I did t like, but was surprised, as rooms are located in different places in the town, but a shuttle service is provided for free, and the driver takes care of everything, taking you to the room, and taking care of the luggage.",1,,,,,,1,,,,,1,,,,,,,,,,1,,,1,
7112,It is not in the city center.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
7113,It is not obvious from the entrance door that it is of a hotel and we thought we entered a wrong place.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7114,It is not possible to make coffee or tea in the room.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7115,"It is not provided to close the balcony from the outside to your room when you exit to the terrace, which is in common use.",,1,,,,,,,,,,1,,,,,,,,,,,,,,
7116,It is not really a hotel: there is no reception service from 9 pm to 8 am so any problems you have can not be solved.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7117,It is not so close to the main attractions.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7118,It is not very clean.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7119,It is not worth paying for it.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
7120,It is odd to lay in bed being able to see the legs and pants of someone sitting on the toilet and the feeling is not great sitting there feeling exposed.,,1,,,,,,,,,,,,,1,,1,,,,,,,,,
7121,"It is ok for one person, but for 2 it might be too tight.",,1,,,1,,,,,,,,,,,,,,,,,,,,,
7122,It is old historical building which need some refreshment.,,1,,,,,,,,,,,,,,,,,,,,,,1,,
7123,It is perfect choice - location in center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7124,It is possible to left laggage for couple hours even after check out.,1,,,,,,,,,,,,,,,,,,,1,,,,,,
7125,"It is quite away from the city center, so it your main reason of staying is going to the city and sight seeing, you may want to book another hotel.",,,1,,,,1,,,,,,,,,,,,,,,,,,,
7126,"It is really hot in the room, even at night.",,1,,,,,,,,,,1,,,,,,,,,,,,,,
7127,It is recommended to improve breakfast for a similar structure.,,1,,,,,,,,,1,,,,,,,,,,,,,,,
7128,"It is strange that the bed is not positioned with the bed end to the wall, but with one of the sides.",,,1,,,,,,,,,,,,,,1,,,,,,,,,
7129,It is super small room with bunk beds.,,1,,,,,,,,,,1,,,,,1,,,,,,,,,
7130,"It is true that at the reception they prepare a saucer with coins, but you have to remember to take it otherwise you cannot use the elevator.",,,1,,,,,,1,,,,,,,,,,,,1,1,,,,
7131,"It is unacceptable not to have any beverages, at least water, in the mini bar.",,1,,,,1,,,,,,1,,,,1,,,,,,,,,,
7132,It is very clean everything works really nice and it?s in a very good area.,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
7133,It is very close to the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7134,It is very close to the subway.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7135,It is very difficult to get into the parking lot!,,1,,,,,,,,,,,,,,,,1,,,,,,,,
7136,It is very nice hotel that is 5 min walk from metro an close to the beach.,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
7137,It is very noisy as the hotel is on a main street.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
7138,"It is very outdated, and the bathroom wasn?t cleaned.",,1,,1,,,,,,,,,,,1,,,,,,,,,,,
7139,It is very quiet in the hotel as there are only a few rooms.,1,,,,,,,,,,,1,,,,,,,1,,,,,,,
7140,It is very very close to metro stop which is great.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7141,It is very well located - I needed something close to the train station but not in the direct neighboirhood of it and I was very satisfied.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7142,"It is very well located, close to the Rambla and Paseo de la Gracia.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7143,It is very well located.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7144,It is very well maintained and the staff are just fantastic!,1,,,,,,1,,1,,,,,,,,,,,,,,,1,,
7145,It is warm so we need to open the window.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7146,It is weird that the swimming pool comes at extra charge.,,1,,,,,,,,,,,1,,,,,,,,,1,,,,
7147,"It is well located close to the metro and main train station, walking distance to the city hall.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7148,It is well located close to the metro and main train station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7149,It isn?t as close to the attractions we like but we didn?t mind riding our Onewheels a bit further.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
7150,It lacks a bit of comfort.,,1,,,1,,,,,,,,,,,,,,,,,,,,,
7151,It lacks a fridge.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7152,"It lacks a microwave, but otherwise everything perfect in quality-price rate.",1,,,,,1,,,,,,1,,,,,,,,,,1,,,1,
7153,It lacks a relaxing lounge where to have a drink.,,1,,,,,,,,,,,,,,,,,,,,,,,,
7154,It lacks auxiliary lights as there are only ceiling lights and you have to get up to turn it off or on.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7155,It lacks maintenance to the level of bathrooms and doors.,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
7156,It looked like it would've been nice and shiny five years ago but could all use a refresh.,,1,,,,,,,,,,,,,,,,,,,,,,,1,
7157,It looked like the personnel handled it very well but if that had happened to me I would have been terrified.,,,1,,,,,,1,,,,,,,,,,,,,,,,,
7158,"It looked so fancy on the pictures, so the room was very dissapointing.",,1,,,,,,,,,,1,,,,,,,,,,,,,,
7159,It may have been as we was next to the reception but we could hear everything.,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,
7160,It needed a bit of maintenance.,,,1,,,,,,,,,,,,,,,,,,,,,,,
7161,It needed drawers and closet.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7162,It needs a substantial renovation of the building.,,1,,,,,,,,,,,,,,,,,,,,,,1,,
7163,It probably shouldn't have been advertised as a gym.,,1,,,,1,,,,,,,,,,,,,,,,,,,,
7164,It really need bigger sign next outdoor.,,1,,,,,,,,,,,,,,,,,,,,,,,,
7165,It s very good location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7166,"It said there was parking, but not that you have to pay ?18 per day!!! Parking cost me more than renting the car for 4 days.",,1,,,,,,,,,,,,,,,,1,,,,1,,,,
7167,"It says that the window faces the yard, but what is in front of the window is a wall of a very close building.",,1,,,,,,,,1,,,,,,,,,,,,,,,,
7168,It seem there is short of staff at breakfast time.,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
7169,It seemed like only two out of four elevators were working.,,1,,,,,,,,,,,,,,,,,,,1,,,,,
7170,It seems like the maids are constantly in the hallways talking and moving furniture about.,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,
7171,"It seems that the electrical outlet near the bed only works when the lights are on, so you can not charge your phone while sleeping which is very inconvenient.",,1,,,,1,,,,,,1,,,,,1,,,,,,,,,
7172,It should be a bar at the hotel with waiters where you could take a cold beer while waiting for your partner.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
7173,It should be contain more social spaces!,,1,,,,,,,,,,,,,,,,,,,,,,1,,
7174,It should be minibar in the room.,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,
7175,It should be renovated.,,1,,,,,,,,,,,,,,,,,,,,,,1,,
7176,It should have breakfast and a minibar.,,1,,,,1,,,,,1,1,,,,1,,,,,,,,,,
7177,"It should have more hangers (we are a family with two children), an extra chair would also be useful.",,1,,,,1,,,,,,,,,,,,,,,,,,,,
7178,It still got quite warm during the night - we slept with the window open.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7179,It takes a little while to find (the doorbell is unidentified and there is no reception).,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
7180,It takes about half an hour to the center.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7181,"It took quite a while to check in, but ok.",,,1,,,,,,,,,,,,,,,,,1,,,,,,
7182,It took some effort to learn to open the locks with different keys.,,,1,,,,,,,,,,,,,,,,,,,,,,,
7183,It was 150 mts from the municipality.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7184,"It was 27 degrees in the room, no air conditioning, we had to sleep with the window open with the noise of the street.",,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
7185,It was a big window.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
7186,It was a bit claustrophobic for four people to sleep in and at the beginning we were afraid that the beds will fall down because they didn?t seem to be very solid but after all nothing happened and they were actually comfortable.,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,
7187,It was a bit cold in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7188,It was a bit cramped at the buffet.,,1,,,,,,,,,1,,,,,,,,,,,,,,,
7189,It was a bit expensive.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
7190,It was a bit far from the subway station.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7191,"It was a bit hard to find the place, very weird entrance into a Backyard and then you need to take a lift.",,1,,,,,1,,,,,,,,,,,,,,1,,,,,
7192,It was a bit noise? from the street.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
7193,"It was a bit noisy, but with earplugs I had no problem.",,,1,,,,,,,,,,,,,,,,1,,,,,,,
7194,"It was a bit scary also that you could only push the balcony door, but it did not lock.",,1,,,,,,,,1,,,,,,,,,,,,,,,,
7195,"It was a bit small, but okay for a short stay.",,,1,,1,,,,,,,1,,,,,,,,,,,,,1,
7196,"It was a bit too warm, very noisy at night and hard to find if you don't have a car and take public transport and you need to walk.",,1,,,,,1,,,,,1,,,,,,,,,,,,,,
7197,"It was a busy area but also very quiet, we had no noise at all.",1,,,,,,1,,,,,,,,,,,,1,,,,,,1,
7198,It was a clean room and bed linen.,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,
7199,It was a dissappointment - Warm water electric kettle in the room should be made available.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7200,It was a good location right next to la ramble poblenou with all the shops and eateries.,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
7201,"It was a great hotel for the price, but it was kind of far away from the city center.",,,1,,,,1,,,,,,,,,,,,,,,1,,,,
7202,It was a great hotel in a great location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7203,It was a hour from the center walking.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7204,"It was a large, beautiful, new immaculate room.",1,,,,1,,,,,,,1,,,,,,,,,,,,,,
7205,It was a little cramped and very hot with lots of noise from outside.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
7206,It was a little dusty in the room but everything else was excellent for the price.,1,,,1,,,,,,,,1,,,,,,,,,,1,,,1,
7207,It was a mess all over the floor.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7208,It was a modern room and located very central.,1,,,,,,1,,,,,1,,,,,,,,,,,,,,
7209,"It was a nice, old, renovated building.",1,,,,,,,,,,,,,,,,,,,,,,,1,,
7210,It was a perfect location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7211,It was a quite plain breakfast but everything was good and it felt like a breakfast at home.,1,,,,,,,,,,1,,,,,,,,,,,,,,1,
7212,It was a super quick checkin.,1,,,,,,,,,,,,,,,,,,,1,,,,,,
7213,It was a surprisingly long wait for check-in.,,1,,,,,,,,,,,,,,,,,,1,,,,,,
7214,It was a ten minute walk over the bridge to the main town area.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7215,It was a very pretty hotel with nice staff! ,1,,,,,,,,1,,,,,,,,,,,,,,,,,
7216,"It was a weekend, there was lot of people outside all night, windows not soundproof, you can imagine the noise.",,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7217,It was a wonderful place and great food.,1,,,,,,1,,,,1,,,,,,,,,,,,,,,
7218,"It was advertised as having a balcony, which it had but it was tiny and looked out onto a drab, dirty internal area - that was disappointing.",,1,,,,,,,,1,,1,,,,,,,,,,,,,1,
7219,It was ALL dirty.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7220,"It was also a pity we had to pay for the pool, but ok.",,,1,,,,,,,,,,1,,,,,,,,,1,,,,
7221,It was also a very quiet location and the staff was very helpful.,1,,,,,,1,,1,,,,,,,,,,1,,,,,,1,
7222,It was also a very quiet room with little to no sounds from outside the building.,1,,,,,,,,,,,1,,,,,,,1,,,,,,,
7223,It was also centrally located for the Oktoberfest that was on.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7224,It was also disappointing how dirty the window overlooking the city was.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7225,It was also disappointing to not have a hot water kettle or coffee pot in the room.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7226,It was also impeccably clean.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
7227,It was also possible to store the luggage in the corridor on the day of departure until the afternoon.,1,,,,,,,,,,,,,,,,,,,,,,,,,
7228,"It was also quite hot and stuffy, even with the windows open.",,1,,,,,,,,,,1,,,,,,,,,,,,,,
7229,"It was also smaller than expected, but still expected it to form part of the staying experience, as it?s part of the accommodations? name, and main pictures on Booking.",,,1,,,,,,,,,,,,,,,,,,,,,,,
7230,It was also very easy to get to from the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7231,It was amazing waking up looiking the view from our bed.,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,
7232,It was ants on the floor so it seemed dirty.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7233,It was at first some searching where the property was exactly (the rooms are on the 11th floor in a large apartment building) but once found everything was fine! Definitely recommended!,1,,,,,,1,,,,,1,,,,,,,,,,,,1,1,
7234,It was available at last minute and included breakfast.,,,1,,,,,,,,1,,,,,,,,,,,,,,,
7235,"It was big stains on the floor, looked like blood actually, dry though but nevertheless very unpleasant.",,1,,1,,,,,,,,,,,,,,,,,,,,,,
7236,It was central.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7237,It was clean / bed was comfortable enough.,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,
7238,It was clean and professional.,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7239,"It was clean and silent, so it was a good value for the money we paid.",1,,,1,,,,,,,,,,,,,,,1,,,1,,,,
7240,It was clean and the area was quiet.,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,
7241,It was clean and the people were friendly.,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7242,"It was clean and the staff did a great job clean wise, everyday.",1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7243,It was clean and the staff were really friendly.,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7244,It was clean and we liked the idea of complimentary bath sponge very much.,1,,,1,,,,,,,,,,,1,,,,,,,,,,,
7245,It was clean and well located.,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
7246,"It was clean and, well designed with almost every needs of a room.",1,,,1,,1,,,,,,1,,,,,,,,,,,,,,
7247,It was clean room.,1,,,1,,,,,,,,1,,,,,,,,,,,,,,
7248,It was clean with great location.,1,,,1,,,1,,,,,,,,,,,,,,,,,,,
7249,"It was clean, close to the harbor (where we parked our boat) and very comfortable.",1,,,1,1,,1,,,,,,,,,,,,,,,,,,,
7250,"It was clean, close to the harbor.",1,,,1,,,1,,,,,,,,,,,,,,,,,,,
7251,"It was clean, comfortable and good size for a single room.",1,,,1,1,,,,,,,1,,,,,,,,,,,,,,
7252,"It was clean, quiet and friendly staff.",1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7253,"It was clean, with good facilities.",1,,,1,,1,,,,,,,,,,,,,,,,,,,,
7254,It was cleaned every day.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
7255,It was close to placa Catalunya and near many excellent restaurants and bus routes.,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
7256,It was close to the airport and offered breakfast in the morning from 5am.,1,,,,,,1,,,,1,,,,,,,,,,,,,,,
7257,It was close to the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7258,It was close to the central bus station and the railway station.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
7259,It was close to train ststion.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7260,It was cold in the bedroom.,,1,,,,,,,,,,1,,,,,1,,,,,,,,,
7261,It was cold in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7262,It was convenient within 10 minutes walk from the central station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7263,It was conveniently located by the metro and the cruise port.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7264,It was crowded and staff could not give good service.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7265,It was difficult to access the bathroom.,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
7266,It was difficult to find the parking structure.,,1,,,,,1,,,,,,,,,,,1,,,,,,,,
7267,"It was difficult to understand what the matter of getting to breakfast looks like, as a result we did not receive vouchers.",,1,,,,,,,,,1,,,,,,,,,,,1,,,,
7268,It was directly across from the train station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7269,It was dirty AND overpriced.,,1,,1,,,,,,,,,,,,,,,,,,1,,,,
7270,It was Dirty when I arrived.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7271,It was dirty with dust.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7272,"It was disappointing for us, as we stayed for one night and we always look for accommodation with breakfast, due to long journeys, that we had clearly written in the message that we would find a voucher for breakfast in a nearby cafe in the room.",,1,,,,,1,,1,,1,1,,,,,,,,,,,,,,
7273,It was disappointing that we weren?t notified of this during / right after we booked as it would have directly affected our decision to stay.,,1,,,,,,,,,,,,,,,,,,,,,,,,
7274,It was discounted and I think they gave me the worst because I booked deluxe room and they gave me a dump.,,1,,,,,,,,,,1,,,,,,,,,,1,,,,
7275,It was easy to get to from the airport via the local buses.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7276,It was equipped with everything needed.,1,,,,,1,,,,,,,,,,,,,,,,,,,,
7277,It was exactly what I expected and what they proposed on the website and also very clean so I am satisfied!,1,,,1,,,,,,,,1,,,,,,,,,,,,,,
7278,It was extremely comfortable and the rooms are spacious.,1,,,,1,,,,,,,1,,,,,,,,,,,,,,
7279,It was extremely unpleasant - a terrible first impression.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
7280,It was far from downtown and breakfast was super expensive.,,1,,,,,1,,,,1,,,,,,,,,,,1,,,1,
7281,"It was good for the price, the bed was very comfortable, we had everything we needed for a few nights.",1,,,,1,,,,,,,,,,,,1,,,,,1,,,,
7282,"It was good overall but if there's a next time, I would look for a place closer or in Old Town.",,,1,,,,1,,,,,,,,,,,,,,,,,1,1,
7283,It was great to have enough space for us and the cleaning service was also great.,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
7284,It was hard to control the heat of the shower.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7285,"It was hard to find the building, even local cafe across the road didnt know where it was! ",,1,,,,,1,,,,,,,,,,,,,,,,,,,
7286,It was hard to locate the property when using google maps but we could easily found it via booking app.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7287,It was hard to locate.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7288,It was hot! Ceiling fans (minimally) would be great.,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
7289,It was ideal for all sightseeing and Tivoli Gardens.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7290,It was impossible to check in far from the actual location that was not marked or recognized by maps.,,1,,,,,1,,,,,,,,,,,,,1,,,,,,
7291,"It was impossible to reach staff via phone from room, had to go to reception every single time.",,1,,,,,,,1,,,1,,,,,,,,,,,,,,
7292,It was impossible to sleep there as a couple because the beds kept separating.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
7293,It was in a very good location to explore other areas infront of the main train station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7294,It was in decent walking distance to the historical sites of Naples.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7295,"It was incredibly loud, so you could not open the windows.",,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7296,It was indeed insulated window but if you wanted to sleep with the window open it was of course noisy.,,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7297,It was just a few steps from the historic center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7298,"It was just to hot for us, even with the window open in April (T=6øC).",,1,,,,,,,,,,1,,,,,,,,,,,,,,
7299,"It was just walking distance to the beach and has good cafes, restaurants nearby.",1,,,,,,1,1,,,,,,1,,,,,,,,,,,,
7300,"It was like home, staff available for every need.",1,,,,,,,,1,,,,,,,,,,,,,,,,,
7301,It was located right next to the train station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7302,"It was loud in the room, thin door.",,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7303,It was lovingly furnished and the beds were comfortable.,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,
7304,It was more like two twin beds together and I kept sleeping in the gap in the middle.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
7305,"It was my second time staying, good location.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
7306,It was near the airport with good taxi service.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7307,It was near the train station and metro.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7308,"It was neat, breakfast was good!",1,,,1,,,,,,,1,,,,,,,,,,,,,,,
7309,It was nice and clean and enough for what we needed!,1,,,1,,,,,,,,,,,,,,,,,,,,,,
7310,It was nice days and good location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7311,"It was nice, the location, the helpful staff, all brilliant.",1,,,,,,1,,1,,,,,,,,,,,,,,,,,
7312,It was nicely organised and very comfortable.,1,,,,1,,,,,,,,,,,,,,,,,,,,,
7313,It was noisy at night.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
7314,It was noisy in the morning and the sound proof was just missing at all.,,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7315,"It was noisy there, I realized I could hear people talking outside.",,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7316,It was not as pictured and was just store bought cakes.,,1,,,,,,,,,,,,,,,,,,,,,,,,
7317,"It was not even possible to ventilate because of the heat, and even with the windows closed, they hummed disturbingly.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7318,It was not great actually (this is my personal taste) but the structure of BRAKKO 45 is so convenient and good that you can easily have a second breakfast elsewhere.,,,1,,,,1,,,,1,,,,,,,,,,,,,,1,
7319,It was not possible to call or receive phone calls as there was no mobile signal.,,1,,,,,,,,,,,,,,,,,,,,,,,,
7320,"It was not possible to have breakfast at the accommodation, only in a nearby street cafe.",,1,,,,,1,,,,1,,,,,,,,,,,,,,,
7321,It was not possible to use air conditioning.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7322,It was not very close to the old city and about a 50min walk to the Sagrada Familia.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7323,"It was not very loud, but you could still hear the mumbling and laughing.",,1,,,,,,,,,,1,,,,,,,1,,,,,,1,
7324,It was not walking distance from the centre of Copenhagen and you'd have to get a train - which is probably 10-15mins once you got on a train.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
7325,It was only a basic room we booked.,,,1,,,,,,,,,1,,,,,,,,,,,,,,
7326,"It was perfectly located in an awesome street full of little shops, restaurants and bars.",1,,,,,,1,1,,,,,,,,1,,,,,,,,,,
7327,It was pleasure to stay at this property very nice room and they are super clean.,1,,,1,,,,,,,,1,,,,,,,,,,,,,,
7328,It was possible to use the fridge and microwave.,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
7329,"It was possible to warm them out in the microwave, but not ideal.",,1,,,,1,,,,,,,,,,,,,,,,,,,,
7330,It was pretty dirty in the room.,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
7331,It was quiet and have good facilities.,1,,,,,1,,,,,,,,,,,,,1,,,,,,,
7332,It was quiet and safe but the room was very small compared to what we normally see in the U.S.,,1,,,1,,,,,,,1,,,,,,,1,,,,,,1,
7333,It was quite close to city center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7334,It was quite expensive.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
7335,"It was quite far from city center,the construction next to property is extremely loud during the day and does not make for the best view.",,1,,,,,1,,,1,,,,,,,,,1,,,,,,,
7336,"It was quite hot while we were there so not having air conditioning made it a little difficult to sleep, but the room did in lude a fan.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
7337,"It was quite loud, you could hear noise from other rooms and the corridors.",,1,,,,,,,,,,1,,,,,,,1,,,,,,,
7338,It was quite noisy at night as our room backed into side street where people ate outside till very late.,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,
7339,It was quite uncomfortable in the evenings which meant we didn?t sleep great.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
7340,It was really close to the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7341,It was really uncomfortable for us to sleep on a square shape pillow.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
7342,It was right across the street from Tarnby station and from there it was so easy to get to where we wanted to go in Copenhagen.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7343,"It was slightly further away from the train station than expected, walking as family with an 8- and a 10-year old.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
7344,"It was some noise coming from the roof, maybe boiler.",,1,,,,,,,,,,,,,,,,,1,,,,,,,
